audi,gas,std,four,front,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,17450,13950,,20.06
audi,gas,std,four,front,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,15830,17450,,10.23
audi,gas,std,four,front,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17450,17710,,1.49
audi,gas,turbo,four,front,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,17580,23875,,35.81
bmw,gas,std,two,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925,16430,,2.92
bmw,gas,std,four,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430,16925,,3.01
bmw,gas,std,two,front,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28,21105,20970,,0.64
bmw,gas,std,four,front,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28,20970,21105,,0.64
chevrolet,gas,std,two,front,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,6295,5151,,18.17
chevrolet,gas,std,two,front,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,6575,6295,,4.26
chevrolet,gas,std,four,front,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,6295,6575,,4.45
dodge,gas,std,two,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,7165,5572,,22.23
dodge,gas,std,two,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,7004,6377,,8.95
dodge,gas,turbo,two,front,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,6900,7957,,15.32
dodge,gas,std,four,front,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,7188,6229,,13.34
dodge,gas,std,four,front,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7110,6692,,5.88
dodge,gas,std,four,front,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6958,7609,,9.36
dodge,gas,std,four,front,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,6739,8921,,32.38
dodge,gas,turbo,two,front,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24,7481,12964,,73.29
honda,gas,std,two,front,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6855,6479,,5.49
honda,gas,std,two,front,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,7332,6855,,6.51
honda,gas,std,two,front,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,6479,5399,,16.67
honda,gas,std,two,front,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,9318,6529,,29.93
honda,gas,std,two,front,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,9218,7129,,22.66
honda,gas,std,four,front,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,9190,7295,,20.62
honda,gas,std,four,front,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,9190,7295,,20.62
honda,gas,std,two,front,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33,9090,7895,,13.15
honda,gas,std,two,front,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33,9222,9095,,1.38
honda,gas,std,four,front,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33,9263,8845,,4.51
honda,gas,std,four,front,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33,9013,10295,,14.22
honda,gas,std,four,front,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28,9641,12945,,34.27
honda,gas,std,two,front,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31,7166,10345,,44.36
mazda,gas,std,two,front,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31,6745,5195,,22.98
mazda,gas,std,two,front,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38,6520,6095,,6.52
mazda,gas,std,two,front,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38,6345,6795,,7.09
mazda,gas,std,four,front,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38,6370,6695,,5.10
mazda,gas,std,four,front,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38,6195,7395,,19.37
mazda,gas,std,two,front,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10244,8845,,13.66
mazda,gas,std,four,front,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10302,8495,,17.54
mazda,gas,std,two,front,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,9952,10595,,6.46
mazda,gas,std,four,front,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10010,10245,,2.35
mazda,gas,std,four,front,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,9844,11245,,14.23
mazda,gas,std,four,front,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,19,27,9885,18280,,84.93
mercedes,diesel,turbo,four,front,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,28176,25552,,9.31
mercedes,diesel,turbo,four,front,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28442,28248,,0.68
mercedes,diesel,turbo,two,front,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,25552,28176,,10.27
mercedes,diesel,turbo,four,front,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,27325,31600,,15.65
mercedes,gas,std,two,front,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,28394,35056,,23.46
mitsubishi,gas,std,two,front,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,7370,5389,,26.88
mitsubishi,gas,std,two,front,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,7237,6189,,14.48
mitsubishi,gas,std,two,front,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,7157,6669,,6.82
